,ID,Name,Lower_FB,Upper_FB,Active_in_FBA,Include
110,EX_g3ps_e,Glycerophosphoserine exchange,0,999999,FALSE,FALSE
117,EX_g6p_e,D-Glucose 6-phosphate exchange,0,999999,FALSE,FALSE
168,EX_gal_bD_e,Beta D-Galactose exchange,0,999999,FALSE,FALSE
151,EX_gal_e,D-Galactose exchange,0,999999,FALSE,FALSE
139,EX_gal1p_e,Alpha-D-Galactose 1-phosphate exchange,0,999999,FALSE,FALSE
174,EX_galct__D_e,D-Galactarate exchange,0,999999,FALSE,FALSE
179,EX_galctn__D_e,D-Galactonate exchange,0,999999,FALSE,FALSE
187,EX_galctn__L_e,L-Galactonate exchange,0,999999,FALSE,FALSE
194,EX_galt_e,Galactitol exchange,0,999999,FALSE,FALSE
211,EX_galur_e,D-Galacturonate exchange,0,999999,FALSE,FALSE
226,EX_gam_e,D-Glucosamine exchange,0,999999,FALSE,FALSE
220,EX_gam6p_e,D-Glucosamine 6-phosphate exchange,0,999999,FALSE,FALSE
236,EX_gbbtn_e,Gamma-butyrobetaine exchange,0,999999,FALSE,FALSE
240,EX_gdp_e,GDP exchange,0,999999,FALSE,FALSE
244,EX_glc__D_e,D-Glucose exchange,-8,999999,TRUE,TRUE
245,EX_glcn_e,D-Gluconate exchange,0,999999,FALSE,FALSE
246,EX_glcr_e,D-Glucarate exchange,0,999999,FALSE,FALSE
248,EX_glcur_e,D-Glucuronate exchange,0,999999,FALSE,FALSE
247,EX_glcur1p_e,D-Glucuronate 1-phosphate exchange,0,999999,FALSE,FALSE
249,EX_gln__L_e,L-Glutamine exchange,0,999999,FALSE,FALSE
250,EX_glu__L_e,L-Glutamate exchange,0,999999,FALSE,FALSE
251,EX_gly_e,Glycine exchange,0,999999,FALSE,FALSE
252,EX_glyald_e,D-Glyceraldehyde exchange,0,999999,FALSE,FALSE
253,EX_glyb_e,Glycine betaine exchange,0,999999,FALSE,FALSE
257,EX_glyc__R_e,(R)-Glycerate exchange,0,999999,FALSE,FALSE
256,EX_glyc_e,Glycerol exchange,0,999999,FALSE,FALSE
254,EX_glyc2p_e,Glycerol 2-phosphate exchange,0,999999,FALSE,FALSE
255,EX_glyc3p_e,Glycerol 3-phosphate exchange,0,999999,FALSE,FALSE
258,EX_glyclt_e,Glycolate exchange,0,999999,FALSE,FALSE
259,EX_gmp_e,GMP exchange,0,999999,FALSE,FALSE
260,EX_gsn_e,Guanosine exchange,0,999999,FALSE,FALSE
261,EX_gthox_e,Oxidized glutathione exchange,0,999999,FALSE,FALSE
262,EX_gthrd_e,Reduced glutathione exchange,0,999999,FALSE,FALSE
263,EX_gtp_e,GTP exchange,0,999999,FALSE,FALSE
264,EX_gua_e,Guanine exchange,0,999999,FALSE,FALSE
269,EX_h_e,H+ exchange,-999999,999999,TRUE,TRUE
265,EX_h2_e,H2 exchange,0,999999,FALSE,TRUE
267,EX_h2o_e,H2O exchange,-999999,999999,TRUE,TRUE
266,EX_h2o2_e,Hydrogen peroxide exchange,0,999999,FALSE,FALSE
268,EX_h2s_e,Hydrogen sulfide exchange,0,999999,FALSE,FALSE
270,EX_hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli) exchange,0,999999,FALSE,FALSE
271,EX_halipa_e,Hepta-acylated KDO(2)-lipid (A) exchange,0,999999,FALSE,FALSE
272,EX_hdca_e,Hexadecanoate (n-C16:0) exchange,0,999999,FALSE,FALSE
273,EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,0,999999,FALSE,FALSE
274,EX_hg2_e,Hg2+ exchange,0,999999,FALSE,FALSE
275,EX_his__L_e,L-Histidine exchange,0,999999,FALSE,FALSE
276,EX_hom__L_e,L-Homoserine exchange,0,999999,FALSE,FALSE
277,EX_hxa_e,Hexanoate (n-C6:0) exchange,0,999999,FALSE,FALSE
278,EX_hxan_e,Hypoxanthine exchange,0,999999,FALSE,FALSE
279,EX_idon__L_e,L-Idonate exchange,0,999999,FALSE,FALSE
280,EX_ile__L_e,L-Isoleucine exchange,0,999999,FALSE,TRUE
281,EX_imp_e,IMP exchange,0,999999,FALSE,FALSE
282,EX_indole_e,Indole exchange,0,999999,FALSE,FALSE
283,EX_inost_e,Myo-Inositol exchange,0,999999,FALSE,FALSE
284,EX_ins_e,Inosine exchange,0,999999,FALSE,FALSE
285,EX_isetac_e,Isethionic acid exchange,0,999999,FALSE,FALSE
