ID,Activity
TDCOATA,0
GPDDA1,0
AGPAT120,1
ACOATA,1
DASYN140,1
DASYN160,1
DASYN180,1
DASYN181,1
DASYNAI15,1
DASYNAI17,1
DASYNI14,1
DASYNI15,1
DASYNI16,1
DASYNI17,1
CLPNS160,1
CLPNS180,1
CLPNSAI15,0
CLPNSAI17,0
CLPNSI14,0
CLPNSI15,0
CLPNSI16,0
CLPNSI17,0
PGSA140,1
PGSA160,1
PGSA180,1
PGSA181,1
PGSAAI15,0
PGSAAI17,1
PGSAI14,0
PGSAI15,0
PGSAI16,0
PGSAI17,1
FACOALAI15,0
FACOALAI17,0
FACOALI14,0
FACOALI15,0
FACOALI16,0
FACOALI17,0
GPDDA4,0
GPDDA2,0
ACOAAGPAT140,0
ACOAAGPAT160,0
ACOAAGPAT180,0
ACOAAGPATAI15,1
ACOAAGPATAI17,1
ACOAAGPATI14,1
ACOAAGPATI15,1
ACOAAGPATI16,1
ACOAAGPATI17,1
AGPAT140,1
AGPAT160,1
AGPAT180,1
AGPAT181,1
KAS1,0
KAS11,0
KAS12,0
KAS13,0
KAS2,0
KAS3,0
KAS4,0
KAS6,0
KAS8,0
G3PAT120,1
G3PAT140,1
G3PAT160,1
G3PAT180,1
G3PAT181,1
G3PATAI15,1
G3PATAI17,1
G3PATI14,1
G3PATI15,1
G3PATI16,1
G3PATI17,1
GLYKr,1
GLYD,0
SERD_L,0
GCCb,0
THRD,0
HSDxi2,4
HSDyi2,4
THRS,1
THRAr,4
CHOLSH,1
GLYCK,0
GLYAT,0
PSERTr,0
GCCa,0
PSP_L,0
GHMT2r,2
PGCDr,0
GCCc,0
GAPD,1
ACS,0
ACS2,4
PYK,1
HEX1,4
G6PI,0
G6PI3,0
PGI,3
PGK,2
PGMT,4
FBA,1
PGM,2
PFK,1
PPDK,0
PFK_ppi,0
ENO,1
TPI,1
PGMT2,0
FBP,0
HEPARL1_e,0
AS6TASE_HS2,0
GLCAASE_HSe,0
GLCAASE8e,0
GLCAASE9e,0
GLCAASEe,0
CSABCASE_B_e,0
CSABCASE_C_e,0
CSABCASE_A_e,0
GALASE_HSe,0
GLCNACASE_HS1,0
